time,open,high,low,close,ma5h,ma5l,ma10h,ma10l,ma50,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,trend,trendbbl,trendbbm,trendbbmdir,trendbbu,extremeSellD,extremeBuyD,extremeSellA,extremeBuyA,extremeSellB,extremeBuyB,extremeSellAll,extremeBuyAll,extremeSell,extremeBuy,tpwSell,tpwBuy,MHVSell,MHVBuy,CSASell,CSABuy,CSAKSell,CSAKBuy,momentumSell,momentumBuy,reEntySell,reEntyBuy
2013-02-14,1.34444,1.34551,1.3315,1.33498,1.3467226666666667,1.3363186666666667,1.347902909090909,1.337674909090909,,1.3272083504381411,1.3468624999999999,1.3665166495618586,2.9185086914007536,0.19771014607878964,-8,0.0018847380760707022,0.0011394807188889189,0.0011394807188889189,0.0005673891832506106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-15,1.33499,1.33929,1.3306,1.33618,1.3448106666666666,1.3343506666666665,1.3457765454545454,1.3359649090909091,,1.3282603480273654,1.347138,1.3660156519726345,2.802630758338727,0.20976263319492916,-10,0.001318912694651564,0.000844152455988123,0.000844152455988123,0.0006044765129484819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-17,1.33503,1.3357,1.33369,1.33388,1.341576,1.333796,1.3434623636363638,1.3351672727272728,,1.3277644207055557,1.3469950000000002,1.3662255792944447,2.8553304643958577,0.15900663211458765,-10,0.00116600542057832,0.00044918956733375204,0.0002368876353864291,0.0005203024082082175,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-18,1.33388,1.33787,1.3321,1.33484,1.3395333333333332,1.3328453333333334,1.3419794545454544,1.334300181818182,,1.3264962131920173,1.3464435,1.3663907868079825,2.9629593529892095,0.20914590761896715,-10,0.0013285110260633504,0.0007201303072511545,-0.00031103138289900745,0.0002746011364176404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-19,1.33484,1.33958,1.33285,1.33951,1.3387046666666669,1.3324280000000002,1.341202,1.3338860000000001,,1.3259206547961349,1.3460955,1.366270345203865,2.9975354948983983,0.3367893301422139,-10,0.0013890387089413592,0.0007740395178674753,-0.0007740395178674753,0.00020906837028711323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-20,1.33948,1.34341,1.32705,1.32727,1.339978,1.3307286666666667,1.3414501818181817,1.3324938181818182,,1.32344206168378,1.3452245,1.36700693831622,3.238483735052395,0.08786753486108678,-10,0.0023032311669697325,0.001314945168604753,-0.001314945168604753,0.0006272727085530061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-21,1.32729,1.32891,1.31606,1.3192,1.3365580000000001,1.3256626666666667,1.3390523636363636,1.3292536363636365,,1.3192785058441312,1.3437474999999999,1.3682164941558685,3.641903580228975,-0.0016041902587246816,-10,0.005015342807432321,0.002003473288335611,-0.002003473288335611,0.0014239474684536457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-22,1.3192,1.32442,1.3145,1.31902,1.3323333333333334,1.3210460000000002,1.3359925454545454,1.3260987272727272,,1.3159238331748107,1.3418575000000001,1.3677911668251896,3.865338432015246,0.059693965493959895,-10,0.005688813928728664,0.0031515288602206315,-0.0031515288602206315,0.0011956831518887823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-24,1.32154,1.32175,1.31856,1.31911,1.3279706666666666,1.319062,1.3327801818181817,1.3240674545454547,1.333343,1.3135977541295967,1.339758,1.3659182458704033,3.9052195800142013,0.1053553911096774,-8,0.004310448128666655,0.004069094418368113,-0.004069094418368113,0.001680165892898322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-25,1.31912,1.33171,1.30471,1.30659,1.3280026666666667,1.313364,1.3318474545454546,1.3198414545454544,1.332293862745098,1.309417246789098,1.336892,1.3643667532109018,4.110242743752206,-0.051451723103673616,-8,0.004950126243665975,0.005110328721429136,-0.005110328721429136,0.0025051638542746835,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-26,1.30661,1.31187,1.3018,1.30672,1.3219459999999998,1.308572,1.3276756363636364,1.3157756363636364,1.331290966166859,1.306594955146251,1.3340035000000001,1.3614120448537492,4.109216333202889,0.0022811290131658636,-8,0.005337866590351958,0.005864422813101844,-0.005864422813101844,0.0033014867349537846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
